Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,P910,P10Q11,WF1,WF2,WF3,WF4,WF5
#k,9.80665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4774.064397,7566.098046,8657.064794,9152.873009,10427.44818
102,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4656.16261,7417.473435,8500.279417,8992.964587,10258.7075
103,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4541.321595,7272.743756,8347.822287,8837.733299,10095.14657
104,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4429.424853,7131.761763,8199.521994,8686.984732,9936.538562
105,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4320.361673,6994.387401,8055.215873,8540.53482,9782.669399
106,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4214.026786,6860.487382,7914.749453,8398.209179,9633.336869
107,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4110.320034,6729.934784,7777.975964,8259.842486,9488.34984
108,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,4009.146062,6602.608683,7644.755864,8125.277914,9347.527524
109,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3910.414041,6478.393805,7514.956411,7994.366602,9210.698793
110,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3814.037402,6357.180207,7388.451256,7866.967162,9077.701558
111,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3719.933589,6238.862975,7265.120073,7742.94523,8948.382186
112,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3628.023833,6123.341943,7144.848207,7622.173036,8822.594971
113,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3538.232936,6010.521433,7027.526348,7504.529018,8700.201628
114,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3450.489076,5900.310007,6913.05023,7389.897453,8581.070844
115,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3364.723617,5792.620241,6801.320348,7278.168118,8465.077846
116,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3280.870937,5687.368507,6692.241691,7169.235973,8352.104005
117,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3198.868264,5584.474773,6585.723497,7063.000863,8242.03647
118,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3118.655527,5483.862415,6481.679019,6959.367246,8134.767827
119,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,3040.175209,5385.45804,6380.025312,6858.243933,8030.19578
120,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2793.914585,2963.372217,5289.191316,6280.683029,6759.543846,7928.222852
